KS,I,I,S,I,I,I,S 
Effects/Weapon_DoubleGun/eff_DoubleGun_Headshot01.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Headshot01.prefab,1,0,0,eff_DoubleGun_Headshot01.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Skill01.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Skill01.prefab,1,0,0,eff_DoubleGun_Skill01.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Skill02.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Skill02.prefab,1,0,0,eff_DoubleGun_Skill02.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Skill02a.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Skill02a.prefab,1,0,0,eff_DoubleGun_Skill02a.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Skill02_Trail.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Skill02_Trail.prefab,1,0,0,eff_DoubleGun_Skill02_Trail.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Skill03.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Skill03.prefab,1,0,0,eff_DoubleGun_Skill03.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Trajectory01.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Trajectory01.prefab,1,0,0,eff_DoubleGun_Trajectory01.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_Trajectory02.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_Trajectory02.prefab,1,0,0,eff_DoubleGun_Trajectory02.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_UltiSkill01.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_UltiSkill01.prefab,1,0,0,eff_DoubleGun_UltiSkill01.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_UltiSkill_Spark.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_UltiSkill_Spark.prefab,1,0,0,eff_DoubleGun_UltiSkill_Spark.prefab
Effects/Weapon_DoubleGun/eff_DoubleGun_UltiSkill_Trajectory.prefab,0,0,Effects/Weapon_DoubleGun/eff_DoubleGun_UltiSkill_Trajectory.prefab,1,0,0,eff_DoubleGun_UltiSkill_Trajectory.prefab
Effects/Weapon_Engineer/eff_Engineer_Bodyshot01.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Bodyshot01.prefab,1,0,0,eff_Engineer_Bodyshot01.prefab
Effects/Weapon_Engineer/eff_Engineer_Fire01.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Fire01.prefab,1,0,0,eff_Engineer_Fire01.prefab
Effects/Weapon_Engineer/eff_Engineer_Fire02.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Fire02.prefab,1,0,0,eff_Engineer_Fire02.prefab
Effects/Weapon_Engineer/eff_Engineer_Headshot01.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Headshot01.prefab,1,0,0,eff_Engineer_Headshot01.prefab
Effects/Weapon_Engineer/eff_Engineer_Skill01.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Skill01.prefab,1,0,0,eff_Engineer_Skill01.prefab
Effects/Weapon_Engineer/eff_Engineer_Skill02.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Skill02.prefab,1,0,0,eff_Engineer_Skill02.prefab
Effects/Weapon_Engineer/eff_Engineer_Skill03.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Skill03.prefab,1,0,0,eff_Engineer_Skill03.prefab
Effects/Weapon_Engineer/eff_Engineer_Trajectory01.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Trajectory01.prefab,1,0,0,eff_Engineer_Trajectory01.prefab
Effects/Weapon_Engineer/eff_Engineer_Trajectory01a.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Trajectory01a.prefab,1,0,0,eff_Engineer_Trajectory01a.prefab
Effects/Weapon_Engineer/eff_Engineer_Trajectory01_1.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Trajectory01_1.prefab,1,0,0,eff_Engineer_Trajectory01_1.prefab
Effects/Weapon_Engineer/eff_Engineer_Trajectory02.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_Trajectory02.prefab,1,0,0,eff_Engineer_Trajectory02.prefab
Effects/Weapon_Engineer/eff_Engineer_UltiSkill.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_UltiSkill.prefab,1,0,0,eff_Engineer_UltiSkill.prefab
Effects/Weapon_Engineer/eff_Engineer_UltiSkill02.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_UltiSkill02.prefab,1,0,0,eff_Engineer_UltiSkill02.prefab
Effects/Weapon_Engineer/eff_Engineer_UltiSkill_Buff.prefab,0,0,Effects/Weapon_Engineer/eff_Engineer_UltiSkill_Buff.prefab,1,0,0,eff_Engineer_UltiSkill_Buff.prefab
Effects/Weapon_FlameThrower/eff_Flamethower_UltiSkill01.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethower_UltiSkill01.prefab,1,0,0,eff_Flamethower_UltiSkill01.prefab
Effects/Weapon_FlameThrower/eff_Flamethower_UltiSkill02.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethower_UltiSkill02.prefab,1,0,0,eff_Flamethower_UltiSkill02.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Bodyshot01.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Bodyshot01.prefab,1,0,0,eff_Flamethrower_Bodyshot01.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Buff01.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Buff01.prefab,1,0,0,eff_Flamethrower_Buff01.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Fire01.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Fire01.prefab,1,0,0,eff_Flamethrower_Fire01.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Fire02.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Fire02.prefab,1,0,0,eff_Flamethrower_Fire02.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_FireRange.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_FireRange.prefab,1,0,0,eff_Flamethrower_FireRange.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Skill02.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Skill02.prefab,1,0,0,eff_Flamethrower_Skill02.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Skill02a.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Skill02a.prefab,1,0,0,eff_Flamethrower_Skill02a.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Skill03.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Skill03.prefab,1,0,0,eff_Flamethrower_Skill03.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Skill03a.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Skill03a.prefab,1,0,0,eff_Flamethrower_Skill03a.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_Skill04.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_Skill04.prefab,1,0,0,eff_Flamethrower_Skill04.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_UltiSkill.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_UltiSkill.prefab,1,0,0,eff_Flamethrower_UltiSkill.prefab
Effects/Weapon_FlameThrower/eff_Flamethrower_UltiSkillRange.prefab,0,0,Effects/Weapon_FlameThrower/eff_Flamethrower_UltiSkillRange.prefab,1,0,0,eff_Flamethrower_UltiSkillRange.prefab
Effects/Weapon_Knife/eff_Assassin_UltiSkill_Substitude.prefab,0,0,Effects/Weapon_Knife/eff_Assassin_UltiSkill_Substitude.prefab,1,0,0,eff_Assassin_UltiSkill_Substitude.prefab
Effects/Weapon_Knife/eff_Knife_Bodyshot01.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Bodyshot01.prefab,1,0,0,eff_Knife_Bodyshot01.prefab
Effects/Weapon_Knife/eff_Knife_Bodyshot02.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Bodyshot02.prefab,1,0,0,eff_Knife_Bodyshot02.prefab
Effects/Weapon_Knife/eff_Knife_Fire01.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Fire01.prefab,1,0,0,eff_Knife_Fire01.prefab
Effects/Weapon_Knife/eff_Knife_Fire02.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Fire02.prefab,1,0,0,eff_Knife_Fire02.prefab
Effects/Weapon_Knife/eff_Knife_Fire03.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Fire03.prefab,1,0,0,eff_Knife_Fire03.prefab
Effects/Weapon_Knife/eff_Knife_Impact01.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Impact01.prefab,1,0,0,eff_Knife_Impact01.prefab
Effects/Weapon_Knife/eff_Knife_Impact02.prefab,0,0,Effects/Weapon_Knife/eff_Knife_Impact02.prefab,1,0,0,eff_Knife_Impact02.prefab
Effects/Weapon_Knife/eff_Knife_TuJin01.prefab,0,0,Effects/Weapon_Knife/eff_Knife_TuJin01.prefab,1,0,0,eff_Knife_TuJin01.prefab
Effects/Weapon_M4/eff_M4_Bodyshot01.prefab,0,0,Effects/Weapon_M4/eff_M4_Bodyshot01.prefab,1,0,0,eff_M4_Bodyshot01.prefab
Effects/Weapon_M4/eff_M4_Fire01.prefab,0,0,Effects/Weapon_M4/eff_M4_Fire01.prefab,1,0,0,eff_M4_Fire01.prefab
Effects/Weapon_M4/eff_M4_Fire01a.prefab,0,0,Effects/Weapon_M4/eff_M4_Fire01a.prefab,1,0,0,eff_M4_Fire01a.prefab
Effects/Weapon_M4/eff_M4_Headshot01.prefab,0,0,Effects/Weapon_M4/eff_M4_Headshot01.prefab,1,0,0,eff_M4_Headshot01.prefab
Effects/Weapon_M4/eff_M4_Impact01.prefab,0,0,Effects/Weapon_M4/eff_M4_Impact01.prefab,1,0,0,eff_M4_Impact01.prefab
Effects/Weapon_M4/eff_M4_Skill02.prefab,0,0,Effects/Weapon_M4/eff_M4_Skill02.prefab,1,0,0,eff_M4_Skill02.prefab
Effects/Weapon_M4/eff_M4_Skill03.prefab,0,0,Effects/Weapon_M4/eff_M4_Skill03.prefab,1,0,0,eff_M4_Skill03.prefab
Effects/Weapon_M4/eff_M4_Skill03a.prefab,0,0,Effects/Weapon_M4/eff_M4_Skill03a.prefab,1,0,0,eff_M4_Skill03a.prefab
Effects/Weapon_M4/eff_M4_Skill03b.prefab,0,0,Effects/Weapon_M4/eff_M4_Skill03b.prefab,1,0,0,eff_M4_Skill03b.prefab
Effects/Weapon_M4/eff_M4_Trail.prefab,0,0,Effects/Weapon_M4/eff_M4_Trail.prefab,1,0,0,eff_M4_Trail.prefab
Effects/Weapon_M4/eff_M4_Trajectory01.prefab,0,0,Effects/Weapon_M4/eff_M4_Trajectory01.prefab,1,0,0,eff_M4_Trajectory01.prefab
Effects/Weapon_M4/eff_M4_Trajectory02.prefab,0,0,Effects/Weapon_M4/eff_M4_Trajectory02.prefab,1,0,0,eff_M4_Trajectory02.prefab
Effects/Weapon_M4/eff_M4_Trajectory02_Trail.prefab,0,0,Effects/Weapon_M4/eff_M4_Trajectory02_Trail.prefab,1,0,0,eff_M4_Trajectory02_Trail.prefab
Effects/Weapon_M4/eff_M4_Trajectory03.prefab,0,0,Effects/Weapon_M4/eff_M4_Trajectory03.prefab,1,0,0,eff_M4_Trajectory03.prefab
Effects/Weapon_M4/eff_M4_Trajectory03_Trail.prefab,0,0,Effects/Weapon_M4/eff_M4_Trajectory03_Trail.prefab,1,0,0,eff_M4_Trajectory03_Trail.prefab
Effects/Weapon_M4/eff_M4_Trajectory04.prefab,0,0,Effects/Weapon_M4/eff_M4_Trajectory04.prefab,1,0,0,eff_M4_Trajectory04.prefab
Effects/Weapon_M4/eff_M4_UltiSkill01.prefab,0,0,Effects/Weapon_M4/eff_M4_UltiSkill01.prefab,1,0,0,eff_M4_UltiSkill01.prefab
Effects/Weapon_M4/eff_M4_UltiSkill02.prefab,0,0,Effects/Weapon_M4/eff_M4_UltiSkill02.prefab,1,0,0,eff_M4_UltiSkill02.prefab
Effects/Weapon_M4/eff_M4_UltiSkill03.prefab,0,0,Effects/Weapon_M4/eff_M4_UltiSkill03.prefab,1,0,0,eff_M4_UltiSkill03.prefab
Effects/Weapon_Nurse/eff_Nurse_bodyshot01.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_bodyshot01.prefab,1,0,0,eff_Nurse_bodyshot01.prefab
Effects/Weapon_Nurse/eff_Nurse_bodyshot02.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_bodyshot02.prefab,1,0,0,eff_Nurse_bodyshot02.prefab
Effects/Weapon_Nurse/eff_Nurse_fire01.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_fire01.prefab,1,0,0,eff_Nurse_fire01.prefab
Effects/Weapon_Nurse/eff_Nurse_Impact.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_Impact.prefab,1,0,0,eff_Nurse_Impact.prefab
Effects/Weapon_Nurse/eff_Nurse_Skill01.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_Skill01.prefab,1,0,0,eff_Nurse_Skill01.prefab
Effects/Weapon_Nurse/eff_Nurse_Skill02.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_Skill02.prefab,1,0,0,eff_Nurse_Skill02.prefab
Effects/Weapon_Nurse/eff_Nurse_Skill04.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_Skill04.prefab,1,0,0,eff_Nurse_Skill04.prefab
Effects/Weapon_Nurse/eff_Nurse_Skill05.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_Skill05.prefab,1,0,0,eff_Nurse_Skill05.prefab
Effects/Weapon_Nurse/eff_Nurse_UltiSkill01.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_UltiSkill01.prefab,1,0,0,eff_Nurse_UltiSkill01.prefab
Effects/Weapon_Nurse/eff_Nurse_UltiSkill02.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_UltiSkill02.prefab,1,0,0,eff_Nurse_UltiSkill02.prefab
Effects/Weapon_Nurse/eff_Nurse_UltiSkill03.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_UltiSkill03.prefab,1,0,0,eff_Nurse_UltiSkill03.prefab
Effects/Weapon_Nurse/eff_Nurse_UltiSkill_Buff.prefab,0,0,Effects/Weapon_Nurse/eff_Nurse_UltiSkill_Buff.prefab,1,0,0,eff_Nurse_UltiSkill_Buff.prefab
Effects/Weapon_QN/eff_QN_Bodyshot01.prefab,0,0,Effects/Weapon_QN/eff_QN_Bodyshot01.prefab,1,0,0,eff_QN_Bodyshot01.prefab
Effects/Weapon_QN/eff_QN_Fire01.prefab,0,0,Effects/Weapon_QN/eff_QN_Fire01.prefab,1,0,0,eff_QN_Fire01.prefab
Effects/Weapon_QN/eff_QN_Skill01.prefab,0,0,Effects/Weapon_QN/eff_QN_Skill01.prefab,1,0,0,eff_QN_Skill01.prefab
Effects/Weapon_QN/eff_QN_Skill02.prefab,0,0,Effects/Weapon_QN/eff_QN_Skill02.prefab,1,0,0,eff_QN_Skill02.prefab
Effects/Weapon_QN/eff_QN_Ultiskill01.prefab,0,0,Effects/Weapon_QN/eff_QN_Ultiskill01.prefab,1,0,0,eff_QN_Ultiskill01.prefab
Effects/Weapon_QN/eff_QN_UltiSkill02.prefab,0,0,Effects/Weapon_QN/eff_QN_UltiSkill02.prefab,1,0,0,eff_QN_UltiSkill02.prefab
Effects/Weapon_QN/eff_QN_UltiSkill_Trail.prefab,0,0,Effects/Weapon_QN/eff_QN_UltiSkill_Trail.prefab,1,0,0,eff_QN_UltiSkill_Trail.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Bodyshot01.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Bodyshot01.prefab,1,0,0,eff_Shotgun_Bodyshot01.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Fire01.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Fire01.prefab,1,0,0,eff_Shotgun_Fire01.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Headshot01.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Headshot01.prefab,1,0,0,eff_Shotgun_Headshot01.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Impact01.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Impact01.prefab,1,0,0,eff_Shotgun_Impact01.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Skill02.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Skill02.prefab,1,0,0,eff_Shotgun_Skill02.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Skill03.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Skill03.prefab,1,0,0,eff_Shotgun_Skill03.prefab
Effects/Weapon_ShotGun/eff_Shotgun_Skill04.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_Skill04.prefab,1,0,0,eff_Shotgun_Skill04.prefab
Effects/Weapon_ShotGun/eff_Shotgun_UltiSkill_Crazyshot.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_UltiSkill_Crazyshot.prefab,1,0,0,eff_Shotgun_UltiSkill_Crazyshot.prefab
Effects/Weapon_ShotGun/eff_Shotgun_UltiSkill_GunRed.prefab,0,0,Effects/Weapon_ShotGun/eff_Shotgun_UltiSkill_GunRed.prefab,1,0,0,eff_Shotgun_UltiSkill_GunRed.prefab
Effects/Weapon_SniperRifle/eff_SignExpose_Buff01.prefab,0,0,Effects/Weapon_SniperRifle/eff_SignExpose_Buff01.prefab,1,0,0,eff_SignExpose_Buff01.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Bodyshot01.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Bodyshot01.prefab,1,0,0,eff_SniperRifle_Bodyshot01.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Bodyshot02.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Bodyshot02.prefab,1,0,0,eff_SniperRifle_Bodyshot02.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Fire01.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Fire01.prefab,1,0,0,eff_SniperRifle_Fire01.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Fire02.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Fire02.prefab,1,0,0,eff_SniperRifle_Fire02.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Headshot01.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Headshot01.prefab,1,0,0,eff_SniperRifle_Headshot01.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Impact01.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Impact01.prefab,1,0,0,eff_SniperRifle_Impact01.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Trail.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Trail.prefab,1,0,0,eff_SniperRifle_Trail.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Trajectory01.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Trajectory01.prefab,1,0,0,eff_SniperRifle_Trajectory01.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Trajectory01a.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Trajectory01a.prefab,1,0,0,eff_SniperRifle_Trajectory01a.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_Trajectory02.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_Trajectory02.prefab,1,0,0,eff_SniperRifle_Trajectory02.prefab
Effects/Weapon_SniperRifle/eff_SniperRifle_UltiSkill02.prefab,0,0,Effects/Weapon_SniperRifle/eff_SniperRifle_UltiSkill02.prefab,1,0,0,eff_SniperRifle_UltiSkill02.prefab
Effects/Weapon_SniperRifle/eff_Sniper_Skill02.prefab,0,0,Effects/Weapon_SniperRifle/eff_Sniper_Skill02.prefab,1,0,0,eff_Sniper_Skill02.prefab
Effects/Weapon_SniperRifle/eff_Sniper_Skill03.prefab,0,0,Effects/Weapon_SniperRifle/eff_Sniper_Skill03.prefab,1,0,0,eff_Sniper_Skill03.prefab
Effects/Weapon_Spider/eff_FortStateIcon.prefab,0,0,Effects/Weapon_Spider/eff_FortStateIcon.prefab,1,0,0,eff_FortStateIcon.prefab
Effects/Weapon_Spider/eff_Spider_BodyShot01.prefab,0,0,Effects/Weapon_Spider/eff_Spider_BodyShot01.prefab,1,0,0,eff_Spider_BodyShot01.prefab
Effects/Weapon_Spider/eff_Spider_BodyShot02.prefab,0,0,Effects/Weapon_Spider/eff_Spider_BodyShot02.prefab,1,0,0,eff_Spider_BodyShot02.prefab
Effects/Weapon_Spider/eff_Spider_Fire01.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Fire01.prefab,1,0,0,eff_Spider_Fire01.prefab
Effects/Weapon_Spider/eff_Spider_Fire01a.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Fire01a.prefab,1,0,0,eff_Spider_Fire01a.prefab
Effects/Weapon_Spider/eff_Spider_Fire02.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Fire02.prefab,1,0,0,eff_Spider_Fire02.prefab
Effects/Weapon_Spider/eff_Spider_Fire02a.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Fire02a.prefab,1,0,0,eff_Spider_Fire02a.prefab
Effects/Weapon_Spider/eff_Spider_HeadShot01.prefab,0,0,Effects/Weapon_Spider/eff_Spider_HeadShot01.prefab,1,0,0,eff_Spider_HeadShot01.prefab
Effects/Weapon_Spider/eff_Spider_HeadShot02.prefab,0,0,Effects/Weapon_Spider/eff_Spider_HeadShot02.prefab,1,0,0,eff_Spider_HeadShot02.prefab
Effects/Weapon_Spider/eff_Spider_Impact01.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Impact01.prefab,1,0,0,eff_Spider_Impact01.prefab
Effects/Weapon_Spider/eff_Spider_SKill02.prefab,0,0,Effects/Weapon_Spider/eff_Spider_SKill02.prefab,1,0,0,eff_Spider_SKill02.prefab
Effects/Weapon_Spider/eff_Spider_Skill02a.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Skill02a.prefab,1,0,0,eff_Spider_Skill02a.prefab
Effects/Weapon_Spider/eff_Spider_Skill02_Buff.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Skill02_Buff.prefab,1,0,0,eff_Spider_Skill02_Buff.prefab
Effects/Weapon_Spider/eff_Spider_Trajectory01.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Trajectory01.prefab,1,0,0,eff_Spider_Trajectory01.prefab
Effects/Weapon_Spider/eff_Spider_Trajectory01a.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Trajectory01a.prefab,1,0,0,eff_Spider_Trajectory01a.prefab
Effects/Weapon_Spider/eff_Spider_Trajectory02.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Trajectory02.prefab,1,0,0,eff_Spider_Trajectory02.prefab
Effects/Weapon_Spider/eff_Spider_Trajectory02a.prefab,0,0,Effects/Weapon_Spider/eff_Spider_Trajectory02a.prefab,1,0,0,eff_Spider_Trajectory02a.prefab
Effects/Weapon_Spider/eff_Spider_UltiSkill_fire01.prefab,0,0,Effects/Weapon_Spider/eff_Spider_UltiSkill_fire01.prefab,1,0,0,eff_Spider_UltiSkill_fire01.prefab
Effects/Weapon_Spider/eff_Spider_UltiSkill_SpinningTop.prefab,0,0,Effects/Weapon_Spider/eff_Spider_UltiSkill_SpinningTop.prefab,1,0,0,eff_Spider_UltiSkill_SpinningTop.prefab
Effects/Weapon_Throwable/eff_Barrel01_Spark.prefab,0,0,Effects/Weapon_Throwable/eff_Barrel01_Spark.prefab,1,0,0,eff_Barrel01_Spark.prefab
Effects/Weapon_Throwable/eff_EMPGrenade_Fire01 (1).prefab,0,0,Effects/Weapon_Throwable/eff_EMPGrenade_Fire01 (1).prefab,1,0,0,eff_EMPGrenade_Fire01 (1).prefab
Effects/Weapon_Throwable/eff_EMPGrenade_Fire01.prefab,0,0,Effects/Weapon_Throwable/eff_EMPGrenade_Fire01.prefab,1,0,0,eff_EMPGrenade_Fire01.prefab
Effects/Weapon_Throwable/eff_EMP_Buff01.prefab,0,0,Effects/Weapon_Throwable/eff_EMP_Buff01.prefab,1,0,0,eff_EMP_Buff01.prefab
Effects/Weapon_Throwable/eff_Flame_Fire01.prefab,0,0,Effects/Weapon_Throwable/eff_Flame_Fire01.prefab,1,0,0,eff_Flame_Fire01.prefab
Effects/Weapon_Throwable/eff_Flame_Fire02.prefab,0,0,Effects/Weapon_Throwable/eff_Flame_Fire02.prefab,1,0,0,eff_Flame_Fire02.prefab
Effects/Weapon_Throwable/eff_FlashGrenade_Buff01.prefab,0,0,Effects/Weapon_Throwable/eff_FlashGrenade_Buff01.prefab,1,0,0,eff_FlashGrenade_Buff01.prefab
Effects/Weapon_Throwable/eff_FlashGrenade_Fire01.prefab,0,0,Effects/Weapon_Throwable/eff_FlashGrenade_Fire01.prefab,1,0,0,eff_FlashGrenade_Fire01.prefab
Effects/Weapon_Throwable/eff_HEGrenade_Fire01.prefab,0,0,Effects/Weapon_Throwable/eff_HEGrenade_Fire01.prefab,1,0,0,eff_HEGrenade_Fire01.prefab
Effects/Weapon_Throwable/eff_ScoutDrone_Fire01.prefab,0,0,Effects/Weapon_Throwable/eff_ScoutDrone_Fire01.prefab,1,0,0,eff_ScoutDrone_Fire01.prefab
Effects/Weapon_Throwable/eff_ScoutDrone_Fire02.prefab,0,0,Effects/Weapon_Throwable/eff_ScoutDrone_Fire02.prefab,1,0,0,eff_ScoutDrone_Fire02.prefab
Effects/Weapon_Throwable/eff_SpeedUp_Buff.prefab,0,0,Effects/Weapon_Throwable/eff_SpeedUp_Buff.prefab,1,0,0,eff_SpeedUp_Buff.prefab
Generate/ClientDataBase/TableABCacheTimerAsset.asset,0,0,Generate/ClientDataBase/TableABCacheTimerAsset.asset,1,0,0,TableABCacheTimerAsset.asset
Generate/ClientDataBase/TableAIAsset.asset,0,0,Generate/ClientDataBase/TableAIAsset.asset,1,0,0,TableAIAsset.asset
Generate/ClientDataBase/TableAIPickHeroAsset.asset,0,0,Generate/ClientDataBase/TableAIPickHeroAsset.asset,1,0,0,TableAIPickHeroAsset.asset
Generate/ClientDataBase/TableAISkillAsset.asset,0,0,Generate/ClientDataBase/TableAISkillAsset.asset,1,0,0,TableAISkillAsset.asset
Generate/ClientDataBase/TableAISkillPriorityAsset.asset,0,0,Generate/ClientDataBase/TableAISkillPriorityAsset.asset,1,0,0,TableAISkillPriorityAsset.asset
Generate/ClientDataBase/TableAssetsListAsset.asset,0,0,Generate/ClientDataBase/TableAssetsListAsset.asset,1,0,0,TableAssetsListAsset.asset
Generate/ClientDataBase/TableAvatarAsset.asset,0,0,Generate/ClientDataBase/TableAvatarAsset.asset,1,0,0,TableAvatarAsset.asset
Generate/ClientDataBase/TableBattleInfomationAsset.asset,0,0,Generate/ClientDataBase/TableBattleInfomationAsset.asset,1,0,0,TableBattleInfomationAsset.asset
Generate/ClientDataBase/TableCharacterAsset.asset,0,0,Generate/ClientDataBase/TableCharacterAsset.asset,1,0,0,TableCharacterAsset.asset
